"Anno di Riferimento";"Codice Voce Contabile";"Descrizione Voce Contabile";"Importo Totale";"Data Aggiornamento";
"2008";"B02500";"B.2.B) Acquisti di servizi non sanitari";6942777000.00;"06/12/2011";
"2008";"B02505";"B.2.B.1) Servizi non sanitari";6433333000.00;"06/12/2011";
"2008";"B02510";"B.2.B.1.1)   Lavanderia";490935000.00;"06/12/2011";
"2008";"B02515";"B.2.B.1.2)   Pulizia";1109860000.00;"06/12/2011";
"2008";"B02520";"B.2.B.1.3)   Mensa";713688000.00;"06/12/2011";
"2008";"B02525";"B.2.B.1.4)   Riscaldamento";454386000.00;"06/12/2011";
"2008";"B02530";"B.2.B.1.5)   Elaborazione dati";317546000.00;"06/12/2011";
"2008";"B02535";"B.2.B.1.6)   Servizi trasporti (non sanitari)";74526000.00;"06/12/2011";
"2008";"B02540";"B.2.B.1.7)   Smaltimento rifiuti";183649000.00;"06/12/2011";
"2008";"B02545";"B.2.B.1.8)   Utenze telefoniche";259418000.00;"06/12/2011";
"2008";"B02550";"B.2.B.1.9)   Utenze elettricita'";583506000.00;"06/12/2011";
"2008";"B02555";"B.2.B.1.10)   Altre utenze";249025000.00;"06/12/2011";
"2008";"B02560";"B.2.B.1.11)  Premi di assicurazione";594015000.00;"06/12/2011";
"2008";"B02565";"B.2.B.1.11.A)  Premi di assicurazione - R.C. Professionale";466333000.00;"06/12/2011";
"2008";"B02570";"B.2.B.1.11.B)  Premi di assicurazione - Altri premi assicurativi";127682000.00;"06/12/2011";
"2008";"B02575";"B.2.B.1.12) Altri servizi non sanitari";1402779000.00;"06/12/2011";
"2008";"B02585";"B.2.B.1.12.B) Altri servizi non sanitari da pubblico";108713000.00;"06/12/2011";
"2008";"B02590";"B.2.B.1.12.C) Altri servizi non sanitari da privato";1294066000.00;"06/12/2011";
"2008";"B02595";"B.2.B.2)  Consulenze, Collaborazioni,  Interinale e altre prestazioni di lavoro non sanitarie";347825000.00;"06/12/2011";
"2008";"B02600";"B.2.B.2.1) Consulenze non sanitarie  V/Asl-AO, IRCCS, Policlinici della Regione";11000.00;"14/07/2011";
"2008";"B02605";"B.2.B.2.2) Consulenze non sanitarie  da Terzi - Altri enti pubblici";5564000.00;"06/12/2011";
"2008";"B02610";"B.2.B.2.3) Consulenze, Collaborazioni,  Interinale e altre prestazioni di lavoro non sanitarie da privato";331840000.00;"06/12/2011";
"2008";"B02615";"B.2.B.2.3.A) Consulenze non sanitarie da privato";127488000.00;"06/12/2011";
"2008";"B02620";"B.2.B.2.3.B) Collaborazioni coordinate e continuative non sanitarie da privato";60912000.00;"06/12/2011";
